Year,Hot_Singles_Rank,Title,Artist,Genre,Weeks_On_Chart,Peak_Chart_Position,Maj_Min,BPM
1978,1,"""Shadow Dancing""",Andy Gibb,Pop,25,1,Min,102
1978,2,"""Night Fever""",Bee Gees,Pop,20,1,Min,110
1978,3,"""You Light Up My Life""",Debby Boone,Country,25,1,Maj,78
1978,4,"""Stayin' Alive""",Bee Gees,Pop,27,1,Min,103
1978,5,"""Kiss You All Over""",Exile,Country,23,1,Maj,104
1978,6,"""How Deep Is Your Love""",Bee Gees,Pop,33,1,Maj,105
1978,7,"""Baby Come Back""",Player,Pop,32,1,Maj,78
1978,8,"""(Love Is) Thicker Than Water""",Andy Gibb,Pop,29,1,Min,96
1978,9,"""Boogie Oogie Oogie""",A Taste of Honey,R&B/Soul,23,1,Min,126
1978,10,"""Three Times a Lady""",Commodores,R&B/Soul,20,1,Maj,76
1978,11,"""Grease""",Frankie Valli,Pop,22,1,Maj,110
1978,12,"""I Go Crazy""",Paul Davis,Pop,40,7,Maj,70
1978,13,"""You're the One That I Want""",Olivia Newton-John,Pop,24,1,Maj,106
1978,14,"""Emotion""",Samantha Sang,Pop,27,3,Maj,94
1978,15,"""Lay Down Sally""",Eric Clapton,Rock,23,3,Maj,96
1978,16,"""Miss You""",The Rolling Stones,Rock,20,1,Min,112
1978,17,"""Just the Way You Are""",Billy Joel,Rock,27,3,Maj,70
1978,18,"""With a Little Luck""",Wings,Rock,18,1,Maj,112
1978,19,"""If I Can't Have You""",Yvonne Elliman,Rock,22,1,Maj,108
1978,20,"""Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)""",Chic,R&B/Soul,28,6,Min,124
1978,21,"""Feels So Good""",Chuck Mangione,Jazz,25,4,Maj,106
1978,22,"""Hot Child in the City""",Nick Gilder,Rock,31,1,Maj,113
1978,23,"""Love Is Like Oxygen""",Sweet,Rock,25,8,Min,124
1978,24,"""It's a Heartache""",Bonnie Tyler,Pop,21,3,Maj,118
1978,25,"""We Will Rock You/We Are the Champions""",Queen,Rock,41,4,Min,80
1978,26,"""Baker Street""",Gerry Rafferty,Rock,20,2,Maj,116
1978,27,"""Can't Smile Without You""",Barry Manilow,Pop,19,3,Maj,100
1978,28,"""Too Much, Too Little, Too Late""",Johnny Mathis,R&B/Soul,18,1,Maj,80
1978,29,"""Dance With Me""",Peter Brown,R&B/Soul,28,8,Maj,110
1978,30,"""Two Out of Three Ain't Bad""",Meat Loaf,Rock,23,11,Maj,80
1978,31,"""Jack And Jill""",Raydio,R&B/Soul,21,8,Maj,108
1978,32,"""Take a Chance on Me""",ABBA,Pop,18,3,Maj,108
1978,33,"""Sometimes When We Touch""",Dan Hill,Pop,22,3,Maj,119
1978,34,"""Last Dance""",Donna Summer,Pop,21,3,Maj,64
1978,35,"""Hopelessly Devoted to You""",Olivia Newton-John,Pop,19,3,Maj,74
1978,36,"""Hot Blooded""",Foreigner,Rock,17,3,Maj,118
1978,37,"""You're in My Heart (The Final Acclaim)""",Rod Stewart,Rock,22,4,Maj,104
1978,38,"""The Closer I Get to You""",Roberta Flack & Donny Hathaway,R&B/Soul,20,2,Maj,122
1978,39,"""Dust in the Wind""",Kansas,Rock,20,6,Min,94
1978,40,"""Magnet and Steel""",Walter Egan,Pop,22,8,Maj,76
1978,41,"""Short People""",Randy Newman,Rock,20,2,Maj,124
1978,42,"""Use ta Be My Girl""",The O'Jays,Pop,19,4,Maj,113
1978,43,"""Our Love""",Natalie Cole,R&B/Soul,21,10,Maj,80
1978,44,"""Love Will Find a Way""",Pablo Cruise,Rock,18,6,Maj,126
1978,45,"""An Everlasting Love""",Andy Gibb,Pop,16,5,Maj,126
1978,46,"""Love Is in the Air""",John Paul Young,Pop,21,7,Maj,126
1978,47,"""Goodbye Girl""",David Gates,Pop,24,15,Min,122
1978,48,"""Slip Slidin' Away""",Paul Simon,Pop,20,5,Maj,122
1978,49,"""The Groove Line""",Heatwave,R&B/Soul,17,7,Maj,121
1978,50,"""Thunder Island""",Jay Ferguson,Rock,21,9,Maj,130
1978,51,"""Imaginary Lover""",Atlanta Rhythm Section,Rock,17,7,Min,110
1978,52,"""Still the Same""",Bob Seger & The Silver Bullet Band,Rock,18,4,Maj,116
1978,53,"""My Angel Baby""",Toby Beau,Pop,17,13,Maj,70
1978,54,"""Disco Inferno""",The Trammps,R&B/Soul,29,11,Maj,128
1978,55,"""On Broadway""",George Benson,Jazz,18,7,Maj,120
1978,56,"""Come Sail Away""",Styx,Rock,22,8,Maj,120
1978,57,"""(Every Time I Turn Around) Back in Love Again""",L.T.D.,R&B/Soul,19,4,Maj,110
1978,58,"""This Time I'm in It for Love""",Player,Rock,17,10,Maj,102
1978,59,"""You Belong to Me""",Carly Simon,Pop,18,6,Min,108
1978,60,"""Here You Come Again""",Dolly Parton,Country,19,3,Maj,106
1978,61,"""Blue Bayou""",Linda Ronstadt,Pop,23,3,Maj,96
1978,62,"""Peg""",Steely Dan,Rock,19,11,Maj,117
1978,63,"""You Needed Me""",Anne Murray,Country,26,1,Maj,64
1978,64,"""Shame""","Evelyn ""Champagne"" King",R&B/Soul,19,9,Min,132
1978,65,"""Reminiscing""",Little River Band,Rock,20,3,Maj,94
1978,66,"""Count On Me""",Jefferson Starship,Rock,14,8,Maj,112
1978,67,"""Baby Hold On""",Eddie Money,Rock,20,11,Maj,120
1978,68,"""Hey Deanie""",Shaun Cassidy,Pop,16,7,Maj,134
1978,69,"""Summer Nights""",Olivia Newton-John,Pop,16,5,Maj,125
1978,70,"""What's Your Name""",Lynyrd Skynyrd,Rock,18,13,Maj,138
1978,71,"""Don't It Make My Brown Eyes Blue""",Crystal Gayle,Country,26,2,Maj,86
1978,72,"""Because the Night""",Patti Smith Group,Rock,18,13,Min,126
1978,73,"""Every Kinda People""",Robert Palmer,Rock,18,16,Maj,96
1978,74,"""Copacabana""",Barry Manilow,Pop,16,8,Min,118
1978,75,"""Always and Forever""",Heatwave,R&B/Soul,20,18,Maj,156
1978,76,"""You and I""",Rick James,R&B/Soul,17,13,Maj,120
1978,77,"""Serpentine Fire""","Earth, Wind & Fire",R&B/Soul,18,13,Maj,140
1978,78,"""Sentimental Lady""",Bob Welch,Rock,18,8,Maj,72
1978,79,"""Falling""",LeBlanc & Carr,Pop,28,13,Maj,96
1978,80,"""Don't Let Me Be Misunderstood""",Santa Esmeralda,Pop,19,15,Min,118
1978,81,"""Bluer Than Blue""",Michael Johnson,Pop,16,12,Maj,66
1978,82,"""Running on Empty""",Jackson Browne,Pop,17,11,Maj,136
1978,83,"""Whenever I Call You 'Friend'""",Kenny Loggins,Rock,20,5,Maj,130
1978,84,"""Fool (If You Think It's Over)""",Chris Rea,Pop,15,12,Min,108
1978,85,"""Get Off""",Foxy,R&B/Soul,21,9,Maj,130
1978,86,"""Sweet Talkin' Woman""",Electric Light Orchestra,Rock,---,17,Maj,122
1978,87,"""Life's Been Good""",Joe Walsh,Rock,15,12,Maj,98
1978,88,"""I Love the Nightlife""",Alicia Bridges,Pop,31,5,Maj,126
1978,89,"""You Can't Turn Me Off (In The Middle Of Turning Me On)""",High Inergy,R&B/Soul,22,12,Min,92
1978,90,"""It's So Easy""",Linda Ronstadt,Pop,18,5,Maj,120
1978,91,"""Native New Yorker""",Odyssey,Pop,19,21,Maj,110
1978,92,"""Flash Light""",Parliament,R&B/Soul,16,16,Maj,106
1978,93,"""Don't Look Back""",Boston,Rock,13,4,Maj,122
1978,94,"""Turn to Stone""",Electric Light Orchestra,Rock,15,13,Maj,138
1978,95,"""I Can't Stand the Rain""",Eruption,Pop,22,18,Maj,108
1978,96,"""Ebony Eyes""",Bob Welch,Rock,17,14,Maj,118
1978,97,"""The Name of the Game""",ABBA,Pop,16,12,Maj,76
1978,98,"""We're All Alone""",Rita Coolidge,Pop,20,7,Maj,66
1978,99,"""Hollywood Nights""",Bob Seger & The Silver Bullet Band,Rock,13,12,Maj,150
1978,100,"""Deacon Blues""",Steely Dan,Rock,16,19,Maj,114